City,State,Country,Venue,Latitude,Longitude
Glendale,AZ,United States,STATE FARM STADIUM,33.527283,-112.263275
Las Vegas,NV,United States,ALLEGIANT STADIUM,36.090794,-115.183952
Arlington,TX,United States,AT&T STADIUM,32.747841,-97.093628
Tampa,FL,United States,RAYMOND JAMES STADIUM,27.975958,-82.503693
Houston,TX,United States,NRG STADIUM,29.68486,-95.411667
Atlanta,GA,United States,MERCEDES-BENZ STADIUM,33.755489,-84.401993
Nashville,TN,United States,NISSAN STADIUM,36.166479,-86.7712898
Philadelphia,PA,United States,LINCOLN FINANCIAL FIELD,39.900898,-75.168098
Foxborough,MA,United States,GILLETTE STADIUM,42.0878,-71.2587
East Rutherford,NJ,United States,METLIFE STADIUM,40.813778,-74.07431
Chicago,IL,United States,SOLDIER FIELD,41.862366,-87.617256
Detroit,MI,United States,FORD FIELD,42.340115,-83.046341
Pittsburgh,PA,United States,ACRISURE STADIUM,40.4469,-80.0158
Minneapolis,MN,United States,U.S. BANK STADIUM,44.9737,-93.257
Cincinnati,OH,United States,PAYCOR STADIUM,39.0955,-84.5161
Kansas City,MO,United States,GEHA FIELD AT ARROWHEAD STADIUM,39.049,-94.4839
Denver,CO,United States,EMPOWER FIELD AT MILE HIGH,39.7439,-105.0201
Seattle,WA,United States,LUMEN FIELD,47.5952,-122.3316
Santa Clara,CA,United States,LEVI'S STADIUM,37.403,-121.97
Los Angeles,CA,United States,SOFI STADIUM,33.9535,-118.3392
Mexico City,,Mexico,Foro Sol,19.4042,-99.0907
Buenos Aires,,Argentina,Estadio River Plate,-34.5455,-58.4494
Rio de Janeiro,,Brazil,Estadio Nilton Santos,-22.8926,-43.2964
Sao Paulo,,Brazil,Allianz Parque,-23.5273,-46.678
Tokyo,,Japan,Tokyo Dome,35.7056,139.7519
Melbourne,,Australia,MCG,-37.8199,144.9834
Sydney,,Australia,Accor Stadium,-33.8474,151.0631
Singapore,,Singapore,National Stadium,1.304,103.874
Paris,,France,Paris La Defense Arena,48.8966,2.2399
Stockholm,,Sweden,Friends Arena,59.3728,18.0006
Lisbon,,Portugal,Estadio da Luz,38.7528,-9.1847
Madrid,,Spain,Estadio Santiago Bernabeu,40.4531,-3.6883
Lyon,,France,Groupama Stadium,45.7652,4.9827
Edinburgh,,United Kingdom,BT Murrayfield Stadium,55.9427,-3.24
Liverpool,,England,Anfield Stadium,53.4308,-2.9608
Cardiff,,Wales,Principality Stadium,51.4782,-3.1827
London,,England,Wembley Stadium,51.556,-0.2796
Dublin,,Ireland,Aviva Stadium,53.3351,-6.2285
Amsterdam,,Netherlands,Johan Cruijff Arena,52.3144,4.9414
Zurich,,Switzerland,Stadion Letzigrund Zurich,47.3663,8.5007
Milan,,Italy,San Siro Stadium,45.4781,9.124
Gelsenkirchen,,Germany,VELTINS-Arena,51.5545,7.0675
Hamburg,,Germany,Volksparkstadion,53.5875,9.8986
Munich,,Germany,Olympiastadion,48.1731,11.5466
Warsaw,,Poland,PGE Narodowy,52.2394,21.0458
Vienna,,Austria,Ernst-Happel-Stadion,48.2067,16.4213
Miami,FL,United States,Hard Rock Stadium,25.958,-80.2389
New Orleans,LA,United States,Caesar's Superdome,29.9509,-90.0814
Indianapolis,IN,United States,Lucas Oil Stadium,39.7601,-86.1639
Toronto,,Canada,Roger's Centre,43.6414,-79.3894
Vancouver,,Canada,BC Place,49.2768,-123.1116
